,E16,E9,E18,E24,E22,E27,E23,E2,E3,E30,E8,E4,E11,E21,E25,E0,E20,E19,E6,E12,E14,E7,E29,E17,E13,E1,E28,E5,E10
1990,-0.0033616386602331435,0.0013943891003021904,0.0009448597403745145,0.0008186305721466051,0.0007761928234513629,0.0006958659121982613,-0.0006887669084989327,-0.0005591343317069104,-0.0004439673183884857,0.0004294044653384067,-0.0003594478804665089,-0.00034922736984153513,0.0002450540389961446,0.0001507175566685051,-9.301352767806815e-05,8.176094099131677e-05,7.85084150468333e-05,3.669021386619681e-05,-3.56065363651683e-05,-3.0310553648109346e-05,,,,,,,,,
1991,-0.0024000926750690826,0.0013178003156540776,0.0007871183760312572,0.0006704486457189884,0.0006451043560446908,0.0005649661775263548,-0.0006292890965449187,-0.0004990762164016577,-0.00043774820747066734,0.0004051796918675167,-0.00032970178932051385,-0.00033358795371891655,0.00021156004460132,0.0001300382931570161,-8.71145464516874e-05,7.315354232864739e-05,6.307308070594006e-05,4.3916764686306644e-05,-3.4221488797760266e-05,,0.0005341802514517817,,,,,,,,
1992,-0.001566375245971357,0.0011666138879579749,0.0006846093426028004,0.0005417579604631705,0.0005519764802137455,0.0004539104642595237,-0.0005350789366147879,-0.0004372292041447453,-0.0003605399153105097,0.0004150626974837872,-0.00028571138918130493,-0.0003020768235427443,0.00018134721755541335,0.0001169706684388585,-7.930796795080494e-05,6.514114993819256e-05,6.0023533935799035e-05,3.50071854807192e-05,,,-0.00016815537709368364,-7.427994202463507e-05,,,,,,,
1993,-0.0009188617119143547,0.0008809537391513056,0.0005381097002666426,0.0004168864293026607,0.000431700467052625,0.00035008667028453696,-0.00045244942720661183,-0.0003925245089902215,-0.0002604757934485469,0.00030402866588421715,-0.0002508513296573696,-0.0002838203006908075,0.00015947592058198528,9.22063669292506e-05,-7.153968213404399e-05,5.44234918430788e-05,4.252516291524246e-05,2.8736163807346936e-05,,,-7.464687081641712e-05,-7.577042521528986e-05,,,,,,,
1994,-0.00046508896030308423,0.0006354374388789384,0.00037457323251926557,0.0003038438373935517,0.0003031535875509324,0.00025716380871979114,-0.00045995661754325966,-0.00036627778462812346,-0.0002940100060458521,0.0002140376746677759,-0.0002348677627508316,-0.0002740354959230571,0.00013273584081220592,6.45568389386229e-05,-6.999617812039784e-05,4.149860900526072e-05,3.284540028868711e-05,,-2.5708450174661483e-05,,-0.00016517650680935596,0.002730702254366926,,,,,,,
1995,-0.00015146559703321555,0.0005143238659748115,0.0003245963061042855,0.0005261238194735555,0.0002749782338039579,0.000493395976042939,-0.0003526815921636832,-0.00030281507741006567,-0.00023532782131276825,0.00019401518676885263,-0.0001885281257728922,-0.0002297165389305864,0.00012007946938694049,5.857123597404954e-05,-5.8923321376708074e-05,3.7116284748011426e-05,2.953967989424407e-05,,,,-9.55948243195424e-05,-6.326230649197342e-05,2.949921919225202e-05,,,,,,
1996,-2.316264234167927e-05,0.0004056768444949308,0.0002446460918012214,0.0003600798343437997,0.00022657328068885572,0.00033590986200285637,-0.0002929590939963044,-0.0002534149863226943,-0.00021299945129410382,0.00016452578485308812,-0.0001465827253327443,-0.00018914735478718333,9.025755063723053e-05,6.805115769334099e-05,-4.917983024360867e-05,2.9377651839434724e-05,2.505242731518217e-05,2.1176129503565778e-05,,,-0.00013900035509671935,,2.358571580270358e-05,,,,,,
1997,,0.0003233863753126934,0.00017606762221295588,0.00028024175086006757,0.00017931082854783734,0.0002633593303578172,-0.00025584415551859526,-0.00021863089632911275,-0.00020024805859399607,0.00015506479291287783,-0.000111322599805891,-0.00014914039496869889,6.798862789536987e-05,4.0406785604986005e-05,-4.08706480424335e-05,2.4970655416135156e-05,2.4520635551524646e-05,3.0426912327394468e-05,-1.1679605937914056e-05,,-0.00010920066196257774,,2.1188162862475894e-05,,,,,,
1998,6.337257177253569e-05,0.0002501524925032205,0.00011352393531076539,0.00020210801373007924,0.00013526676405124305,0.0001947617141120526,-0.00021085703948884888,-0.0001870171057924391,-0.00019594783918317187,0.00013658349370295592,-8.510658958791988e-05,-0.00011401785378429403,5.3473276750618795e-05,2.7962354189114264e-05,-3.3417805133993e-05,1.9552237182753003e-05,2.164974970678672e-05,3.1048106410805614e-05,-1.0512394085714593e-05,,,,2.13468978521031e-05,,,,,,
1999,0.00020266839383096787,0.0001626870553227233,5.747564225935201e-05,0.00013186352474224658,8.73800965244967e-05,0.00013322843875812715,-0.00016514579121090518,-0.00016155154777011053,-0.00015558333566952683,0.00010904118380383873,-6.844253547108115e-05,-8.977282550652783e-05,3.4258968106152545e-05,2.0179774035974582e-05,-2.700803871830181e-05,,1.7547311433040353e-05,1.8985155868873644e-05,,,2.7962346185068758e-05,3.556748242185566e-05,2.176798714477327e-05,,,,,,
2000,0.00038412001561047987,9.506897558300177e-05,2.2423413214454554e-05,8.257308756030163e-05,5.629892371879458e-05,8.720205404487457e-05,-0.00011726910510821047,-0.00013036167738653842,-0.00010970956730042142,9.125993783481241e-05,-4.9535647808840715e-05,-6.256930347302162e-05,2.1147967388339037e-05,1.4182863221799387e-05,-1.9795302281973862e-05,9.366535167166623e-06,1.3749758372693142e-05,9.681682531466394e-06,,,-0.00023034156564481263,,1.672998296416194e-05,,,,,,
2001,0.0005757810404576455,4.414212574901564e-05,,4.419552844550298e-05,3.275754748945743e-05,4.982734085736177e-05,-8.785773101360446e-05,-9.785342767714106e-05,-6.963503911228434e-05,5.61685579245142e-05,-3.142676004018604e-05,-4.123415482946676e-05,1.0095261013633942e-05,8.421284377236297e-06,-1.296849584615968e-05,,8.745925936383528e-06,2.1971822342963985e-05,,,-3.8128266694266346e-05,-7.620508500872384e-05,6.055261936851314e-06,7.54102791502881e-06,,,,,
